S no,name,latitude,longitude,delivery_review_number,location
314,California Burrito,12.91056677,77.63792697,16.3K,"HSR, Bangalore"
315,Windmills,12.98243909,77.72208095,"1,429","Craftworks, Bangalore"
316,Barista Coffee,13.05040987,77.62160421,292,"Embassy Manyata Business Park,  Nagawara , Bangalore"
317,Jus' Trufs,13.07249561,77.60386258,"1,838","Jakkur, Bangalore"
318,Khmer Kitchen,12.90643663,77.58654825,"1,049","JP Nagar, Bangalore"
319,Zyng - Pan Asian Dining,12.97499433,77.62004066,25,"Ulsoor, Bangalore"
320,Café Siri,12.96473132,77.71563828,559,"Brookefield, Bangalore"
321,HoverPulse Cafe,12.93491613,77.62952294,42,"Koramangala 4th Block, Bangalore"
322,Sector 144,12.8419788,77.6443473,0,"Electronic City, Bangalore"
323,Karim's Delhi 6 - Since 1913,12.97216855,77.60089438,"1,357","St. Marks Road, Bangalore"
324,Sri Manjunatha Cafe,12.93096351,77.60870397,17,"BTM, Bangalore"
325,Lapis - The Oberoi,12.97291183,77.61851382,0,"The Oberoi, MG Road, Bangalore"
326,Aramana Oru Nadan Oonu Kada,12.85017037,77.65710779,17,"Electronic City, Bangalore"
327,Blink by Zoca,12.9965,77.6954,18,"Whitefield, Bangalore"
328,One Atria Cafe - Radisson Blu Atria,12.98040098,77.58618119,6,"Radisson Blu Atria, Bangalore"
329,Pinxx - Royal Orchid Central,12.97491265,77.61548962,246,"Royal Orchid Central, MG Road, Bangalore"
330,Great Room - Holiday Inn Express & Suites,13.054937,77.762861,450,"Hoskote, Bangalore"
331,Rajwadi,,,12.6K,"Brookefield, Bangalore"
332,Isar Ji Cafe,12.86395,77.6172,"1,139","Bommanahalli, Bangalore"
333,The Coffee Brewery,12.97920216,77.64193302,0,"Indiranagar, Bangalore"
334,CUR8 - Four Seasons Hotel,13.01945083,77.58524269,1,"Four Seasons Hotel, RT Nagar, Bangalore"
335,HumbleBean Coffee,12.96951289,77.63583251,99,"Indiranagar, Bangalore"
336,Monk's Bar & Social,12.9073473,77.6011195,8,"BTM, Bangalore"
337,Paragon Restaurant - Since 1939,12.97511901,77.6025337,"1,657","1 Sobha, Bangalore"
338,Haldiram's Sweets And Namkeen,12.99746249,77.54710577,50,"Basaveshwara Nagar, Bangalore"
339,Pizza Hut,13.02730518,77.59348914,"8,159","RT Nagar, Bangalore"
340,District 6 Pub Brewery & Kitchen,13.01234952,77.55484421,42,"Malleshwaram, Bangalore"
341,Shao,12.94976176,77.69929692,66,"Radisson Blu, Marathahalli, Bangalore"
342,Arbor Brewing Company,12.97025364,77.61074781,141,"Brigade Road, Bangalore"
343,Cafe 1617,13.0235288,77.6398863,19,"Kalyan Nagar, Bangalore"
344,Peepai,13.05568134,77.59300232,639,"Hebbal, Bangalore"
345,We: Neighborhood,12.972541,77.608255,0,"Brigade Road, Bangalore"
346,Down Town Diner,12.9731935,77.609125,0,"Brigade Road, Bangalore"
347,Aroma's Hyderabad House,12.913016,77.644684,12.2K,"HSR, Bangalore"
348,The Spiceberry,12.9258916,77.6691313,48,"Bellandur, Bangalore"
349,Societe Rangoon,12.9065491,77.5894586,4,"JP Nagar, Bangalore"
350,Devaras Restaurant,13.0031024,77.5535718,0,"Rajajinagar, Bangalore"
351,The Aviary,13.3080035,77.6957608,0,"JW Marriott Bengaluru Prestige Golfshire Resort & Spa, International Airport, Bangalore"
352,Cafe Morish,12.96574646,77.60383576,309,"Richmond Road, Bangalore"
353,Babylonia - Global Food & Cocktails,12.9362415,77.61571057,26,"Koramangala 7th Block, Bangalore"
354,Seta,12.94821133,77.64558971,0,"Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore"
355,Lord Of The Drinks,12.99585949,77.69639678,2,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
356,Rooftop at Raw,12.9336478,77.6148833,1,"Koramangala 5th Block, Bangalore"
357,Zed The Baker,12.97543278,77.60290872,531,"Church Street, Bangalore"
358,Blue Tokai Coffee Roasters,12.93381501,77.62137125,52,"Koramangala 5th Block, Bangalore"
359,Toscano,12.95664235,77.73182005,"3,435","Varthur Main Road, Whitefield, Bangalore"
360,Hakuna Matata,12.89401542,77.58666493,"4,924","JP Nagar, Bangalore"
361,Thelagram,12.90614514,77.60093115,58,"JP Nagar, Bangalore"
362,Conçu,12.9698699,77.6379279,314,"Indiranagar, Bangalore"
363,Sherlock's - Lounge & Kitchen,13.09282712,77.59380765,3,"Yelahanka, Bangalore"
364,Öz by Kebapci,12.97263279,77.59571302,0,"UB City, Bangalore"
365,Blurred,12.93415368,77.61576638,1,"Koramangala 5th Block, Bangalore"
366,Oota Bangalore,12.98246262,77.72197735,"1,112","Craftworks, Bangalore"
367,Kazé,12.96571902,77.59671416,0,"Lavelle Road, Bangalore"
368,LUPA,12.97576142,77.60461833,0,"MG Road, Bangalore"
369,Big Barrel BrewPub,12.90393982,77.50827536,139,"Rajarajeshwari Nagar, Bangalore"
370,Mainland China,12.95568434,77.72525903,"3,432","Whitefield, Bangalore"
371,Hopshaus,12.96743041,77.74963964,487,"Whitefield, Bangalore"
372,Spot 360 - DoubleTree Suites by Hilton,12.91919,77.665047,0,"DoubleTree Suites By Hilton, Sarjapur, Bangalore"
373,Easy Tiger,12.97437683,77.60715466,0,"Church Street, Bangalore"
374,Fire Station,12.84151479,77.64741898,"2,402","Electronic City, Bangalore"
375,Arion Biryani's,12.9312132,77.6849676,52,"Bellandur, Bangalore"
376,Infuse Tea & Snacks Adda,12.9484602,77.7143883,20,"Marathahalli, Bangalore"
377,9 Tables Restaurant,12.93124747,77.68479422,320,"Bellandur, Bangalore"
378,Mavalli Tiffin Room (MTR),12.95514162,77.58556254,0,"Basavanagudi, Bangalore"
379,Namma Mysuru Cafe,12.9386088,77.5809065,19,"Jayanagar, Bangalore"
380,Justbe By Nidhi Nahata,13.00721035,77.57944241,581,"Sadashiv Nagar, Bangalore"
381,Hungry Hippie,12.93457433,77.61584938,91,"Koramangala 5th Block, Bangalore"
382,Scottish Pub,12.97195193,77.60094702,0,"St. Marks Road, Bangalore"
383,1947,12.92664744,77.51648325,"2,396","Rajarajeshwari Nagar, Bangalore"
384,BurgerMan,12.9701324,77.6371193,505,"Indiranagar, Bangalore"
385,Lotus - Visthara Hotel,13.0599373,77.5928168,0,"Sahakara Nagar, Bangalore"
386,Street Storyss,12.97032257,77.63587005,728,"Indiranagar, Bangalore"
387,Lucky Chan - Dimsum & Sushi Parlour,12.9702092,77.64316399,687,"Indiranagar, Bangalore"
388,Nothing Before Coffee,12.93714958,77.57179912,39,"Basavanagudi, Bangalore"
389,Sproutive,12.9019412,77.675778,13,"Sarjapur Road, Bangalore"
390,Kairali Kitchen And Restaurant,12.85654991,77.78196262,226,"Attibele, Bangalore"
391,Sri Annapoorna Devi Andhra Deluxe Mess,12.9185691,77.6852713,236,"Bellandur, Bangalore"
392,Namma Madurai,12.95758303,77.70887878,15.2K,"Marathahalli, Bangalore"
393,Fia's Lounge,12.96597599,77.60278373,0,"Richmond Road, Bangalore"
394,46 Ounces Brewgarden,12.8496703,77.6578841,625,"Electronic City, Bangalore"
395,Boteco Restaurante Brasileiro,12.97053701,77.61047422,0,"MG Road, Bangalore"
396,Range Dine In & Kitchen,12.87957143,77.51665961,5,"Kanakapura Road, Bangalore"
397,Maya,12.92183851,77.58484069,134,"Jayanagar, Bangalore"
398,Kyba- Sushi Dim Sums & More,13.05991042,77.59284615,402,"Sahakara Nagar, Bangalore"
399,Bhola & Blonde,12.97009289,77.63917789,30,"Indiranagar, Bangalore"
400,Chili's Grill & Bar,12.9807665,77.5636663,73,"Lulu Mall, Bangalore"
401,Nanav Store & Cafe,12.96727391,77.64210552,23,"Indiranagar, Bangalore"
402,Shift Lounge,12.9523084,77.6400124,0,"Domlur, Bangalore"
403,Bombay Brasserie,12.97035067,77.64587302,749,"Indiranagar, Bangalore"
404,Chapter One Bar | Maiin,13.03234922,77.56971002,266,"New BEL Road, Bangalore"
405,Sweets Of India,12.91455697,77.60565832,11,"BTM, Bangalore"
406,Venkateshwara Hotel,12.93085175,77.60340862,19,"Hosur Road, Bangalore"
407,Jagli Tindi,12.92042908,77.59724692,100,"Jayanagar, Bangalore"
408,Belur Cafe,13.0488817,77.5103917,43,"Jalahalli, Bangalore"
409,Bob's Bar,12.96710793,77.64128275,"2,835","Indiranagar, Bangalore"
410,Salvadores,12.97329409,77.61130504,0,"MG Road, Bangalore"
411,Talli Terrace,12.97522009,77.60391891,38,"Church Street, Bangalore"
412,Gabru Di Chaap,12.9977038,77.6970011,257,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
413,Caffé Allora,12.99776342,77.69645881,199,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
414,Nomad Pizza,12.91858109,77.67001523,0,"Sarjapur Road, Bangalore"
415,Via Milano,12.90086192,77.71092229,933,"Sarjapur Road, Bangalore"
416,White Lotus Club,12.9151339,77.6660495,0,"Sarjapur Road, Bangalore"
417,The Big Baadshaah,12.9484192,77.6988763,810,"Marathahalli, Bangalore"
418,Leon's Burgers & Wings,12.9804302,77.6409874,28.2K,"Indiranagar, Bangalore"
419,Marquis - Radisson Blu,12.94972582,77.69923657,0,"Radisson Blu, Marathahalli, Bangalore"
420,Yauatcha,12.9733261,77.6203589,447,"1 MG Road Mall, MG Road, Bangalore"
421,Smooth Criminal,12.9342665,77.6160878,2,"Koramangala 5th Block, Bangalore"
422,Saffron By Sanmanaa,12.9849993,77.5601253,107,"Rajajinagar, Bangalore"
423,Mumbai Chai Cafe,12.93075531,77.68499162,0,"Bellandur, Bangalore"
424,Taaza Thindi,12.92685756,77.54816048,0,"Banashankari, Bangalore"
425,Bengaluru Cafe,12.9392413,77.5839074,30,"Jayanagar, Bangalore"
426,Delhi Highway,12.97023926,77.63933748,"3,946","Indiranagar, Bangalore"
427,Dr. Sheesha,13.00839682,77.54895944,19,"Rajajinagar, Bangalore"
428,Beijing Bites,12.93349632,77.62186624,10.3K,"Koramangala 5th Block, Bangalore"
429,Sanadige - Goldfinch Hotel,12.9853876,77.57965766,491,"Goldfinch Hotel, Seshadripuram, Bangalore"
430,Animal Bar,12.92396621,77.64038013,0,"Koramangala 1st Block, Bangalore"
431,B Town Barbeque,12.90423448,77.50792898,0,"Rajarajeshwari Nagar, Bangalore"
432,Olio - The Wood Fired Pizzeria,12.933826,77.616052,0,"Koramangala 5th Block, Bangalore"
433,Glass – Kitchen & Bar,12.98062587,77.57825822,3,"Holiday Inn, Race Course Road, Bangalore., Bangalore"
434,Publik,12.93033773,77.68570147,96,"Bellandur, Bangalore"
435,Kerbside Bistro,13.00781349,77.57796668,0,"Sadashiv Nagar, Bangalore"
436,Lot Like Crepes & Cafe,12.98077615,77.75091603,388,"Whitefield, Bangalore"
437,OYA Urban Cafe,12.99565008,77.61666007,184,"Frazer Town, Bangalore"
438,Kava - Fairfield By Marriott,12.98306,77.55981,88,"Fairfield by Marriott,Rajajinagar , Bangalore"
439,Arogya Ahaara,12.91813835,77.63780274,"8,919","HSR, Bangalore"
440,Chin Lung Resto Bar,12.93184449,77.632179,415,"Koramangala 4th Block, Bangalore"
441,Bathinda Junction,12.9353669,77.6140422,12.9K,"Koramangala 7th Block, Bangalore"
442,Kanti Sweets,12.8855669,77.7456404,"2,017","Sarjapur Road, Bangalore"
443,Dhanyam Cafe,12.92415835,77.57791255,2,"Jayanagar, Bangalore"
444,The Kabab Studio - Goldfinch Hotel,12.98495504,77.57997818,12,"Goldfinch Hotel, Seshadripuram, Bangalore"
445,Watson's,12.96722033,77.64127404,46,"Indiranagar, Bangalore"
446,Secret Spot Cafe,12.93099618,77.58602154,22,"Jayanagar, Bangalore"
447,Chai Fast,12.9274935,77.6332759,233,"Koramangala 1st Block, Bangalore"
448,LOFT38,12.97118545,77.6411882,11,"Indiranagar, Bangalore"
449,The Big Barn,12.8760569,77.5296288,48,"Kanakapura Road, Bangalore"
450,Mahe Global Kitchen,12.933764,77.621847,3,"Koramangala 5th Block, Bangalore"
451,Travellers Bungalow,12.9701586,77.6458046,165,"Indiranagar, Bangalore"
452,Tiddly Tavern Bar & Grill,12.987,77.7363,7,"Ascendas Park Square, Whitefield, Bangalore"
453,Blue Butterfly Bar & Kitchen,12.8414943,77.6449337,0,"Bommasandra, Bangalore"
454,Jain Sweets And Savories,13.0026029,77.7571106,535,"Whitefield, Bangalore"
455,Temple Of The Senses,12.97508189,77.60282457,138,"Church Street, Bangalore"
456,The Biere Club,12.97121093,77.59756073,29,"Lavelle Road, Bangalore"
457,Neer,13.0423463,77.6181425,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
458,Dolci Desserts,12.98649381,77.59503677,900,"Cunningham Road, Bangalore"
459,Tiger Trail - Royal Orchid Hotel,12.9572943,77.643679,221,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
460,Tree Tops Bar & Kitchen,12.97459802,77.59952009,16,"Hotel Southern Star, Lavelle Road, Bangalore"
461,Hoppipola,12.975208,77.60391187,126,"Church Street, Bangalore"
462,Board 4 Bored,12.94035742,77.57128548,106,"Basavanagudi, Bangalore"
463,Bake Stir Fry Cafe,12.9690207,77.7378129,12,"Whitefield, Bangalore"
464,South Ruchis Square,12.98404125,77.57805504,"1,885","Race Course Road, Bangalore"
465,Casa Fresco By Tea Brew,12.920751,77.650396,763,"HSR, Bangalore"
466,"The Lantern Restaurant & Bar - The Ritz-Carlton, Bangalore",12.9672333,77.6017788,16,"The Ritz-Carlton, Bangalore"
467,Saffron,12.94969347,77.69928385,69,"Radisson Blu, Marathahalli, Bangalore"
468,Jalebbi Kitchen & Bar,12.98637146,77.59555343,26,"Cunningham Road, Bangalore"
469,Copper Chimney,,,69,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
470,Drunken Daddy,12.93433938,77.6159057,10,"Koramangala 5th Block, Bangalore"
471,Chulha Chauki Da Dhaba,12.90961447,77.68520258,"4,333","Sarjapur Road, Bangalore"
472,Terra Bites,12.9341931,77.6258725,307,"Koramangala 4th Block, Bangalore"
473,1 BHK - Bar House Kitchen,12.93641109,77.62098178,79,"Koramangala 6th Block, Bangalore"
474,Suzy Q,12.98395108,77.5967668,243,"Cunningham Road, Bangalore"
475,PizzaExpress,12.97045929,77.63919716,55,"Indiranagar, Bangalore"
476,Nando's,12.997432,77.69654,"4,592","Phoenix Marketcity Bangalore, Whitefield, Bangalore"
477,Itasian,13.07400769,77.61883717,66,"Jakkur, Bangalore"
478,Momoz,12.9139308,77.6088683,0,"BTM, Bangalore"
479,LOKA - Greenpark Hotels,12.9081299,77.6015863,8,"Bannerghatta Road, Bangalore"
480,Sanchez,12.97189541,77.59615459,366,"UB City, Bangalore"
481,Just Loaf,12.93134777,77.62346915,0,"Koramangala 3rd Block, Bangalore"
482,Nasi And Mee,12.93493476,77.62918632,"2,267","Koramangala 4th Block, Bangalore"
483,Kebapci,12.93624117,77.62212608,"2,887","Koramangala 6th Block, Bangalore"
484,Boba Bhai,12.8442435,77.665622,"1,033","Electronic City, Bangalore"
485,Be Bhukkad,13.04080416,77.62038901,124,"Nagawara, Bangalore"
486,Zodiac - Fortune Select JP Cosmos Hotel,12.98969938,77.59479739,3,"Fortune Select JP Cosmos Hotel, Bangalore"
487,CEVI,12.9168407,77.6450439,13,"HSR, Bangalore"
488,Platform.65,12.879438,77.595421,440,"Bannerghatta Road, Bangalore"
489,Cremeux Pizza & Bakery Cafe,12.9166396,77.5955023,161,"Jayanagar, Bangalore"
490,Snack's Shack,12.97990678,77.75258848,299,"Whitefield, Bangalore"
491,Dum Pukht Jolly Nabobs - ITC Windsor,12.99466936,77.58535534,0,"ITC Windsor, Bangalore"
492,Coastal Machali Co.,12.9657958,77.59783633,631,"Residency Road, Bangalore"
493,Taiki,12.90650395,77.58966565,7,"JP Nagar, Bangalore"
494,Brahmin's Coffee Bar,12.95398005,77.56884433,"1,217","Basavanagudi, Bangalore"
495,Alchemy,12.96592714,77.59867016,0,"The Chancery Pavilion, Residency Road, Bangalore"
496,The Dome Cafe,12.90197667,77.67573372,81,"Sarjapur Road, Bangalore"
497,Neon Market,12.97278092,77.63977168,1,"Indiranagar, Bangalore"
498,Tutto Bene - Health Cafe by Little Italy,12.96645873,77.64169347,29,"Indiranagar, Bangalore"
499,Smoke House Pizzeria,12.989976,77.728392,"3,134","Forum Shantiniketan Mall, Whitefield, Bangalore"
500,Pasta Street,12.98817925,77.72997703,"3,777","Prestige Shantiniketan, Bangalore"
501,Chowman,12.956922,77.715087,13.6K,"Brookefield, Bangalore"
502,The Coffee Brewery,13.00470541,77.71770114,944,"KR Puram, Bangalore"
503,Smoor,12.9656813,77.74921395,"3,488","Whitefield, Bangalore"
504,Dot.yum - Aloft Hotel,12.99063046,77.73311455,11,"Aloft Hotel, Whitefield, Bangalore"
505,Whitefield Baking Company - Bengaluru Marriott Hotel Whitefield,12.97931968,77.7276824,43,"Bengaluru Marriott Hotel Whitefield, Bangalore"
506,The Sandwich Station,12.96561869,77.73335496,"4,837","Whitefield, Bangalore"
507,De Royale Spice,12.9961793,77.6911507,5,"KR Puram, Bangalore"
508,The Filter Coffee,12.96269595,77.71682886,"6,004","Brookefield, Bangalore"
509,Haldiram's Restaurant,12.96026727,77.71624432,251,"Brookefield, Bangalore"
510,Srinidhi Signature,12.98353127,77.75303096,"3,384","ITPL Main Road, Whitefield, Bangalore"
511,Third Wave Coffee,12.96359,77.71712,964,"Brookefield, Bangalore"
512,Kalinga Spices,12.95100498,77.71582031,"6,302","Brookefield, Bangalore"
513,Paper And Pie Cafe,12.9653831,77.7324063,0,"ITPL Main Road, Whitefield, Bangalore"
514,Pakodee’s,12.9889941,77.7157381,154,"Whitefield, Bangalore"
515,The Eatery - Four Points By Sheraton Bengaluru,12.97899526,77.75115207,202,"Four Points by Sheraton Bengaluru Whitefield, Bangalore"
516,The Rameshwaram Cafe,12.9707561,77.7125276,989,"Brookefield, Bangalore"
517,Samosa Party,12.9738204,77.7100737,875,"Brookefield, Bangalore"
518,Biryani Pub,12.95814437,77.70161703,34,"Marathahalli, Bangalore"
519,Zodiac,12.97762568,77.71434847,2,"Fortune Select Trinity, Whitefield, Bangalore"
520,Karibu - The Zuri,12.99062589,77.72311695,0,"The Zuri Hotels, Bangalore"
521,Brunchilly - Sarovar Portico,12.97886523,77.69450113,17,"Marathahalli, Bangalore"
522,Juice N Bites,12.9796282,77.7533973,162,"Whitefield, Bangalore"
523,Grill On Hot & Cool Cafe,12.97229335,77.70028029,9,"Marathahalli, Bangalore"
524,Asha Tiffins,12.96440949,77.71448124,26.7K,"Brookefield, Bangalore"
525,Vijayawada Tiffins,12.96633621,77.71410406,481,"Brookefield, Bangalore"
526,Pinds Of Punjab,13.00446693,77.71825947,"4,465","KR Puram, Bangalore"
527,Kava Kitchen & Bar - Fairfield by Marriott,12.98105679,77.7092164,74,"Whitefield, Bangalore"
528,Aruki Kitchen,12.99287027,77.7028248,15,"Whitefield, Bangalore"
529,Hard Rock Cafe,12.987178,77.736479,389,"Ascendas Park Square, Whitefield, Bangalore"
530,Khane Ka Khazana,12.95154711,77.71736059,"2,980","Brookefield, Bangalore"
531,Brilram's Balaji Bhavan,13.0128637,77.7611215,15.7K,"Whitefield, Bangalore"
532,The Mill -  Artisanal Bakery,13.0248168,77.761195,139,"Whitefield, Bangalore"
533,Chaayos Chai+Snacks=Relax,12.9870639,77.73647904,"3,870","Ascendas Park Square, Whitefield, Bangalore"
534,Mega Bite,12.97179413,77.71744341,0,"MGM Mark Whitefield, Bangalore"
535,Mansaf Paradise,12.95200788,77.70410784,41,"Marathahalli, Bangalore"
536,No Sugar Please!,12.9622627,77.7166021,"1,004","Brookefield, Bangalore"
537,Cafe Mumbai,13.01277124,77.7623456,"3,196","ITPL Main Road, Whitefield, Bangalore"
538,Kapoor's Cafe,13.010446,77.697792,"1,913","KR Puram, Bangalore"
539,Whitefield SOCIAL,12.9977178,77.6970699,"2,254","Phoenix Marketcity Bangalore, Whitefield, Bangalore"
540,Lavonne,12.98962391,77.72804249,936,"Forum Shantiniketan Mall, Whitefield, Bangalore"
541,Subway,13.004524,77.717701,"1,073","KR Puram, Bangalore"
542,Flavours Radha Hometel,12.97798703,77.71364171,116,"Radha Hometel, Bangalore"
543,Poha On Wheels,12.95954476,77.70171359,"2,457","Marathahalli, Bangalore"
544,Blue Tokai Coffee Roasters,12.99620186,77.69541912,717,"VR Bengaluru, Whitefield, Bangalore"
545,Thirupathi Bhimas,12.9564646,77.7100697,636,"Marathahalli, Bangalore"
546,McDonald's,12.96721935,77.71671787,24.9K,"Brookefield, Bangalore"
547,Leon's Burgers & Wings,12.98265434,77.74835515,24.8K,"Whitefield, Bangalore"
548,Alibabar Hari,12.9717013,77.7347989,112,"Whitefield, Bangalore"
549,Purnabramha Maharashtrian Restaurant,12.99243969,77.70302184,374,"Brigade Metropolis, Bangalore"
550,Starbucks Coffee,12.95666947,77.73226429,"2,392","Whitefield, Bangalore"
551,MYNT,12.98729651,77.73784395,5,"Vivanta Whitefield, Bangalore"
552,Masala Chai,12.99208654,77.70270366,572,"Whitefield, Bangalore"
553,Theobroma,12.9565642,77.7323802,"1,916","Whitefield, Bangalore"
554,Hotel Nattinpuram,12.97474896,77.69382991,"1,277","Marathahalli, Bangalore"
555,Udupi Veg,12.9693908,77.7380481,"1,277","Whitefield, Bangalore"
556,Sri Chowdeshwari Mudde Hotel,12.99216788,77.71978766,0,"Whitefield, Bangalore"
557,Munisai Teja Nellore Tiffins,12.950957,77.7045222,215,"Marathahalli, Bangalore"
558,Manorama Food Corner,12.95681781,77.71460865,12,"Marathahalli, Bangalore"
559,Sri Guru Nalapaka Restaurant,13.07279313,77.78667893,908,"Whitefield, Bangalore"
560,Charubon's Restaurant,12.962471,77.7493766,358,"Varthur Main Road, Whitefield, Bangalore"
561,HRX by EatFit,12.964524,77.719337,0,"Brookefield, Bangalore"
562,Kapoor's Chaat Bhandaar,12.93910951,77.73243464,420,"Varthur Main Road, Whitefield, Bangalore"
563,Juice Berg,12.96705337,77.71449499,13.7K,"Brookefield, Bangalore"
564,Pulla Reddy Sweets,13.01580563,77.76216924,0,"Whitefield, Bangalore"
565,Khawar Ashe Pashe,13.00599705,77.73351015,"2,098","KR Puram, Bangalore"
566,Aditya Sweets,12.95578204,77.72815112,"4,696","Whitefield, Bangalore"
567,The Groot,12.98980555,77.7281585,429,"Forum Shantiniketan Mall, Whitefield, Bangalore"
568,Baskin Robbins - Ice Cream Desserts,,,"2,388","Marathahalli, Bangalore"
569,Amma's Pastries,13.00321281,77.7127881,"2,750","KR Puram, Bangalore"
570,Subbayyaa Gari Hotel,12.96242819,77.71672793,"5,417","Brookefield, Bangalore"
571,Boba Bhai,12.973233,77.710289,559,"Brookefield, Bangalore"
572,Natraj Chole Bhature,12.96593829,77.71382688,"5,149","Brookefield, Bangalore"
573,Mayura Sagar,12.9699083,77.7129033,"2,515","Brookefield, Bangalore"
574,Hatti Kaapi,12.97307,77.7099027,13,"Marathahalli, Bangalore"
575,Juice Therapy,12.9622426,77.7166153,67,"Brookefield, Bangalore"
576,Sri Udupi Food Hub,12.98397101,77.75168315,"1,290","ITPL Main Road, Whitefield, Bangalore"
577,Suryawanshi,12.9772761,77.7249197,"6,289","KR Puram, Bangalore"
578,Kallayi Restaurant,13.00469495,77.71018401,"3,991","KR Puram, Bangalore"
579,Hoskote Nati Style,12.96742813,77.71479908,0,"Brookefield, Bangalore"
580,Om Agarwal Bhavan,12.9646987,77.7174464,760,"Brookefield, Bangalore"
581,Mirzapur UP63,12.9548456,77.71489263,178,"Marathahalli, Bangalore"
582,Puchkas,12.9573611,77.7087772,27.7K,"Marathahalli, Bangalore"
583,1882,12.96878705,77.71687589,0,"DoubleTree by Hilton, Whitefield, Bengaluru, Bangalore"
584,The Coffee House,12.98352604,77.75321838,683,"ITPL Main Road, Whitefield, Bangalore"
585,Litti Mania,12.972001,77.7116935,133,"Brookefield, Bangalore"
586,Udupi Upachar,12.96236415,77.71339059,18.2K,"Brookefield, Bangalore"
587,Chef Bakers,12.98213852,77.72594132,14,"Whitefield, Bangalore"
588,Amal’s Biriyani,12.9390925,77.7405417,197,"Varthur Main Road, Whitefield, Bangalore"
589,Hatti Kaapi - Coffee And More,12.989382,77.728015,9,"Forum Shantiniketan Mall, Whitefield, Bangalore"
590,Cafe Garage,13.012896,77.762033,25,"Whitefield, Bangalore"
591,RARA'S - SWEETS-CHAATS-THALIS,12.9528986,77.7175586,76,"Brookefield, Bangalore"
592,Simhapuri - The Taste Of Nellore,12.9396637,77.7377705,55,"Varthur Main Road, Whitefield, Bangalore"
593,Real Fresh Dosa Corner,12.96480973,77.71664243,"8,548","Brookefield, Bangalore"
594,Karma Foods,12.95823356,77.71884989,0,"Brookefield, Bangalore"
595,Sai Foods,12.95738699,77.71450102,"1,659","Brookefield, Bangalore"
596,New Udupi Garden Veg,13.0045758,77.7146927,224,"KR Puram, Bangalore"
597,Ramdev Sagar,12.9588988,77.71933135,11.9K,"Brookefield, Bangalore"
598,Citrus Cafe - Lemon Tree Hotel,12.9722254,77.71758188,0,"Lemon Tree Hotel, Whitefield, Bangalore"
599,The Cafe Dhaba,13.00983614,77.71769126,299,"KR Puram, Bangalore"
600,Thalassery Restaurant,12.95666587,77.70270132,18.1K,"Marathahalli, Bangalore"
601,Sri Lakshmi Vaibhav,12.9491527,77.71513067,10.6K,"Marathahalli, Bangalore"
602,Mivaan's Café,12.9606039,77.72047318,0,"Brookefield, Bangalore"
603,Zoop Cafe,12.95076586,77.70388819,10,"Marathahalli, Bangalore"
604,Hotel Abooz- Eat 'N' Meet Restaurant,12.9829163,77.7335348,"1,616","Whitefield, Bangalore"
605,Just Bake,12.96741734,77.71584414,20,"Brookefield, Bangalore"
606,Vidhagdha Cafe,12.9862576,77.77988825,4,"Whitefield, Bangalore"
607,Muraamba - The Marathi Kitchen,12.96341917,77.70967841,423,"Marathahalli, Bangalore"
608,Peruvayaran Restaurant,12.94959885,77.72221165,4,"Whitefield, Bangalore"
609,Burger King,12.965511,77.701848,15.7K,"Kote MR Plaza, Bangalore"
610,Brindavan Grand,12.94244901,77.74757065,"1,767","Varthur Main Road, Whitefield, Bangalore"
611,Kanti Sweets,12.99412608,77.70049386,"8,346","Whitefield, Bangalore"
612,Tea Day,12.99471902,77.69718267,9,"Mahadevapura, Bangalore"
613,Gilly's Restobar,12.95572486,77.71459121,62,"Marathahalli, Bangalore"
614,Meganas Biryani,12.95403037,77.7151994,232,"Brookefield, Bangalore"
615,Ashraya Upachar,13.02002215,77.70891532,39.6K,"KR Puram, Bangalore"
616,Shree KC Mess,12.93910951,77.73243464,97,"Varthur Main Road, Whitefield, Bangalore"
617,Angel's Kitchen,12.97798605,77.76985612,"4,594","Whitefield, Bangalore"
618,Chill,12.97788901,77.71365076,0,"Radha Hometel, Bangalore"
619,Sri Vishnu Palace,12.97961634,77.69502215,"1,669","Marathahalli, Bangalore"
620,Ghaas Phoos 1.0,12.96067723,77.7149399,45,"Brookefield, Bangalore"
621,Udupi Vaibhav,13.01782668,77.70524438,"5,031","KR Puram, Bangalore"
622,Anand Sweets And Savouries,13.01745364,77.76245222,"1,261","MS Commercials Complex, Bangalore"
623,Kidilum,12.983293,77.73357,11.3K,"Whitefield, Bangalore"
624,Karavali Kitchen,12.95082696,77.70457115,"1,923","Marathahalli, Bangalore"
625,Pop Inn Restaurant,,,"1,370","Whitefield, Bangalore"
626,Estaa Sweets,12.97587875,77.72687975,"3,580","Broadway Building, Whitefield, Bangalore"
627,Foodies Hub,12.9508214,77.70458456,815,"Marathahalli, Bangalore"
628,Tea Positive,12.94838222,77.71570265,245,"Marathahalli, Bangalore"
629,Sri Udupi Park,12.994332,77.699113,"5,665","Whitefield, Bangalore"
