S no,name,latitude,longitude,delivery_review_number,location
71,Mykos Craft Kitchen & Bar,12.8975904,77.59975197,0,"Bannerghatta Road, Bangalore"
72,Tuk Tuk Thai - Pure Veg Asian Fine Dine,12.9333935,77.6223162,140,"Koramangala 5th Block, Bangalore"
73,The Verandah Koramangala,12.928977,77.627413,0,"Koramangala 3rd Block, Bangalore"
74,Truffles,12.93350024,77.61430476,17.5K,"Koramangala 5th Block, Bangalore"
75,46 Ounces,12.99356927,77.66093633,97,"RMZ Infinity, Old Madras Road, Bangalore"
76,The Rameshwaram Cafe,,,0,"Indiranagar, Bangalore"
77,BLR Brewing Co,,,0,"Whitefield, Bangalore"
78,Smoor,12.97007884,77.64134713,"7,990","Indiranagar, Bangalore"
79,Sky Garden,12.99412934,77.70380035,57,"Whitefield, Bangalore"
80,Miso Sexy,,,28,"Indiranagar, Bangalore"
81,One8 Commune,12.97621516,77.59918685,0,"Lavelle Road, Bangalore"
82,Spice It - Ibis Hotel,13.0384657,77.6131195,0,"Hebbal, Bangalore"
83,Deck Of Brews,12.93266795,77.69671261,0,"Kadubeesanahalli, Bangalore"
84,The Creek - The Den Bengaluru,12.98759315,77.7334106,0,"The Den, Whitefield, Bangalore"
85,Theo Cafe,13.05445902,77.64462128,30,"Hennur, Bangalore"
86,Aurum Brew Works,12.91070402,77.68564481,"1,559","Sarjapur Road, Bangalore"
87,The Coffee Brewery,12.93566951,77.62523092,26,"Koramangala 4th Block, Bangalore"
88,The Caffeine Baar,12.91643015,77.59291179,533,"Jayanagar, Bangalore"
89,Raahi,12.97308434,77.60242827,258,"St. Marks Road, Bangalore"
90,Float Brewery,13.02245181,77.64341779,121,"Kalyan Nagar, Bangalore"
91,Harley's Fine Baking,12.9105133,77.5892729,441,"JP Nagar, Bangalore"
92,Bramble,,,4,"Jayanagar, Bangalore"
93,Hard Rock Cafe,,,304,"St. Marks Road, Bangalore"
94,Sashay-Taproom Kitchen,12.9759844,77.7178765,0,"Whitefield, Bangalore"
95,The Black Pearl,12.93930296,77.69473046,101,"Kadubeesanahalli, Bangalore"
96,Red Rhino,13.0247031,77.7614997,"6,681","Whitefield, Bangalore"
97,Byg Brewski Brewing Company,12.91290403,77.68288583,25.2K,"Sarjapur Road, Bangalore"
98,Nook,12.93738224,77.69356202,235,"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore"
99,Taproom By Sherlock's,12.9060425,77.58518804,106,"JP Nagar, Bangalore"
100,Zoey's,12.89753984,77.71763921,"5,507","Sarjapur Road, Bangalore"
101,Moglu - The Edgy Veggie Restaurant,12.97525925,77.60193623,0,"St. Marks Road, Bangalore"
102,High Ultra Lounge,13.01081386,77.55425043,0,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore"
103,Caraway Kitchen - Conrad Bengaluru,12.97531386,77.62013353,9,"Conrad Bengaluru, Ulsoor, Bangalore"
104,Fox In The Field,12.9898498,77.7282498,289,"Forum Shantiniketan Mall, Whitefield, Bangalore"
105,TYD,13.0543715,77.6464136,58,"Hennur, Bangalore"
106,Kana By Coffee Mechanics,13.03443806,77.63832743,66,"HBR Layout, Bangalore"
107,Kari Theory - Namma Bar & Kitchen,12.97496623,77.61912301,1,"Radisson Bangalore City Centre, Ulsoor, Bangalore"
108,The Coffee Brewery,13.01455501,77.64904823,313,"Kalyan Nagar, Bangalore"
109,Lavonne,12.96672436,77.63681687,908,"Indiranagar, Bangalore"
110,Cuppa Redefined,12.91208475,77.632271,432,"HSR, Bangalore"
111,TBC- Sky Lounge,12.92288815,77.65154455,382,"HSR, Bangalore"
112,Butterfly Brew Bite & Fly,12.90792621,77.59941674,0,"JP Nagar, Bangalore"
113,Backstreet Brewery,12.92103348,77.69581104,416,"Sarjapur Road, Bangalore"
114,Gold Rush Brews,13.01933025,77.7074763,281,"KR Puram, Bangalore"
115,Masala Mandi,12.9107338,77.6855745,"3,428","Sarjapur Road, Bangalore"
116,JW Kitchen - JW Marriott Bengaluru,12.9719213,77.5949239,256,"JW Marriott Bengaluru, Lavelle Road, Bangalore"
117,Neo Kitchen,13.0416844,77.6202864,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
118,The Watering Hole,12.90553518,77.60960429,0,"BTM, Bangalore"
119,Orah Brew Garden,13.09840608,77.57347354,1,"Yelahanka, Bangalore"
120,Nuage,12.96988313,77.64072418,123,"Indiranagar, Bangalore"
121,Zodiac Bar & Kitchen,12.95577616,77.71175444,1,"Brookefield, Bangalore"
122,Hoot,12.91414913,77.67832674,499,"Sarjapur Road, Bangalore"
123,Buff Buffet Buff,12.93337737,77.61530254,37,"BluPetal Hotel, Koramangala, Bangalore"
124,Indian Biere House,12.906127,77.595601,1,"JP Nagar, Bangalore"
125,Boho,12.9658337,77.71812905,53,"Brookefields Mall, Brookefield, Bangalore"
126,The Scene - Craft Kitchen & Bar,12.90657688,77.58026483,0,"JP Nagar, Bangalore"
127,The French Treaty,13.1271551,77.5668622,0,"Yelahanka, Bangalore"
128,Bombay Curry House,13.041946,77.620189,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
129,Mitico Coffee Roasters,12.93325042,77.6150856,69,"Koramangala 5th Block, Bangalore"
130,Elysium By Stories,12.91556,77.67802,0,"Sarjapur Road, Bangalore"
131,Flo,12.97442519,77.60684889,28,"Church Street, Bangalore"
132,Nevermind - Bar & Social,12.97052253,77.64597125,120,"Indiranagar, Bangalore"
133,Oyster Bar & Kitchen,12.91186024,77.63807282,503,"HSR, Bangalore"
134,Umbaa Pub And Kitchen,12.98341954,77.7528948,0,"ITPL Main Road, Whitefield, Bangalore"
135,Jamming Goat 3.0,12.9062438,77.5899888,24,"JP Nagar, Bangalore"
136,24@43 - The Oterra,12.84992489,77.66037606,0,"The Oterra, Hosur Road, Bangalore"
137,Cafe Noir,12.97002355,77.63626749,205,"Indiranagar, Bangalore"
138,BANOFFEE,12.91487167,77.63825152,"5,850","HSR, Bangalore"
139,Paper And Pie,12.9810757,77.6409584,0,"Indiranagar, Bangalore"
140,Haldiram's Restaurant,12.91240179,77.63934275,"2,337","HSR, Bangalore"
141,Stories Bar & Kitchen,12.91353453,77.58556389,649,"JP Nagar, Bangalore"
142,Backyard Burgers And Grill,12.9749286,77.6412137,"1,188","Indiranagar, Bangalore"
143,Singapore Street,13.02222054,77.63740126,"1,024","Kammanahalli, Bangalore"
144,Mary Jane's Bakery & Deli,12.91422168,77.6668867,3,"Shubh Enclave, Bangalore"
145,Hitchki,12.9093648,77.6872468,408,"Sarjapur Road, Bangalore"
146,Mirage,12.97509009,77.60245609,0,"1 Sobha, Bangalore"
147,Cafe Gujjubhai,12.8906,77.7255,595,"Sarjapur Road, Bangalore"
148,Cafe Palmyra,12.96409452,77.73969904,0,"Palm Meadows Club, Whitefield, Bangalore"
149,La Utsav - Grand Mercure,12.9927172,77.6605853,29,"Grand Mercure, Bangalore"
150,Badmaash,12.93518996,77.61379849,6,"Koramangala 5th Block, Bangalore"
151,BumbleBee Brauhaus,12.96931267,77.64141183,68,"Indiranagar, Bangalore"
152,153 Biere Street,12.96311433,77.75094587,463,"Whitefield, Bangalore"
153,Plan B X Hangover,12.91205076,77.6506782,303,"HSR, Bangalore"
154,Sunburn Union,12.94518168,77.6201355,0,"Koramangala 6th Block, Bangalore"
155,Hashtag 88,12.9470783,77.6992614,0,"Marathahalli, Bangalore"
156,Gawky Goose,12.95422511,77.65291315,874,"Old Airport Road, Bangalore"
157,Candles  Brewhouse,13.055539,77.594088,15,"RMZ Azure, Bangalore"
158,Kaara By The Lake,12.98658104,77.61944287,0,"Ulsoor, Bangalore"
159,Brahma Brews,12.8933623,77.5864543,"1,783","JP Nagar, Bangalore"
160,Chalukya Samrat Cafe Since 1977,12.97504236,77.60257144,469,"1 Sobha, Bangalore"
161,Pijja,12.96998232,77.6479129,0,"Indiranagar, Bangalore"
162,The Fisherman's Wharf,12.91445043,77.66625445,"1,889","Sarjapur Road, Bangalore"
163,The Fixx,12.93236242,77.63166033,9,"Koramangala 4th Block, Bangalore"
164,Glen's Bakehouse,12.97928636,77.64071111,"9,666","Indiranagar, Bangalore"
165,Teatings,12.91299652,77.63532456,3,"HSR, Bangalore"
166,Brother Barley Brewing Company,12.91214259,77.63680045,115,"HSR, Bangalore"
167,Vapour Brewpub And Diner,12.91416743,77.67728973,376,"Sarjapur Road, Bangalore"
168,Omega IX Cocktail Bar And Global Kitchen,13.05993739,77.59281687,63,"Sahakara Nagar, Bangalore"
169,Shiro,12.97177616,77.59648249,876,"UB City, Bangalore"
170,Skyline Rooftop Bar & Kitchen,12.9794592,77.695406,56,"Livin Hub Hotel, Bangalore"
171,JULIET,12.97321522,77.62037624,0,"1 MG Road Mall, MG Road, Bangalore"
172,Onesta,13.02141697,77.64334839,12.5K,"Kammanahalli, Bangalore"
173,Sstella Asian Kitchen And Bar,12.8759917,77.5957899,22,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore"
174,Cocobolo,13.0345893,77.56795585,0,"New BEL Road, Bangalore"
175,Kathpal's,12.90704125,77.6018968,727,"Vega City, Bannerghatta Road, Bangalore"
176,Hitchki,12.9976864,77.6971222,511,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
177,Ambedo Kitchen|Taproom,12.9103174,77.5980895,0,"JP Nagar, Bangalore"
178,Gwalia,13.00232588,77.75712669,387,"ITPL Main Road, Whitefield, Bangalore"
179,The Rajputana,12.96432911,77.71500025,195,"Brookefield, Bangalore"
180,Rasta Cafe,12.76645971,77.33272478,0,"Mysore Road, Bangalore"
181,Tiamo - Conrad Bengaluru,12.97531222,77.62013923,0,"Conrad Bengaluru, Ulsoor, Bangalore"
182,White Garden,13.02370812,77.6431489,0,"Kalyan Nagar, Bangalore"
183,1522 - The Pub,12.90632813,77.57592872,"1,472","JP Nagar, Bangalore"
184,The Peak,13.07304591,77.5952661,0,"Sahakara Nagar, Bangalore"
185,Burma Burma - Indiranagar,12.97046372,77.64472671,"1,985","Indiranagar, Bangalore"
186,Mallika Biryani - Bileshivale Road,13.05594589,77.66352388,"6,347","Hennur, Bangalore"
187,Punjab Grill,12.9893534,77.7283305,"3,778","Forum Shantiniketan Mall, Whitefield, Bangalore"
188,The Pump House,12.90655036,77.58220509,398,"JP Nagar, Bangalore"
189,Pizza 4P's,12.96996006,77.63609261,0,"Indiranagar, Bangalore"
190,Pasta Street,12.90705103,77.59888306,"2,255","JP Nagar, Bangalore"
191,The Filter Coffee,12.97152,77.647071,"2,330","Indiranagar, Bangalore"
192,The Pallet,12.99103262,77.72317395,"2,622","Whitefield, Bangalore"
193,The Groot,13.0833666,77.6435733,29,"Bhartiya Mall of Bengaluru, Bangalore"
194,Flyover Drinkery,13.04924607,77.59318974,0,"Esteem Mall, Hebbal, Bangalore"
195,Geometry Gastropub,13.036829,77.566105,0,"New BEL Road, Bangalore"
196,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,13.01225512,77.55469937,0,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore"
197,Burger King,12.91204488,77.63813719,45.4K,"HSR, Bangalore"
198,Burgermeister - Burgers Shakes & Wings,,,811,"HSR, Bangalore"
199,Tanjosh,12.95796531,77.63833769,2,"Domlur, Bangalore"
200,Flechazo,12.97532276,77.69718234,19,"Marathahalli, Bangalore"
201,Plan B,12.9351648,77.61380218,451,"Koramangala 7th Block, Bangalore"
202,Levels Pub & Kitchen,12.90608695,77.59379055,724,"JP Nagar, Bangalore"
203,"Torye Drink, Dine & Dance",12.90596006,77.51216264,0,"Rajarajeshwari Nagar, Bangalore"
204,Bologna,12.97176341,77.64101285,958,"Indiranagar, Bangalore"
205,The Soda Factory,12.95797544,77.48775411,220,"Nagarbhavi, Bangalore"
206,Khai Khai,12.90607878,77.64426671,10.1K,"HSR, Bangalore"
207,Cafe Reset Your Happy Place,12.9375842,77.6244234,131,"Koramangala 6th Block, Bangalore"
208,Sugar Factory Reloaded,12.93355793,77.61427608,4,"Koramangala 5th Block, Bangalore"
209,Geist Brewing Co.,13.0530116,77.7594117,198,"Old Madras Road, Bangalore"
210,Rajdhani,12.99765398,77.6966754,"4,566","Phoenix Marketcity Bangalore, Whitefield, Bangalore"
211,Inanna Tap Room,12.87404521,77.60905101,407,"Bannerghatta Road, Bangalore"
212,Dobaraa,12.9979039,77.696434,272,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
213,Third Wave Coffee,12.9267304,77.5612056,967,"Banashankari, Bangalore"
214,Vyana Flavors Of Nature,12.91012232,77.59534662,106,"JP Nagar, Bangalore"
215,Toca,12.9347315,77.61592112,6,"Koramangala 5th Block, Bangalore"
216,Oziano,12.94177883,77.72394542,"7,847","Varthur Main Road, Whitefield, Bangalore"
217,Kapoor's Chaat Bhandaar,12.89247461,77.72844216,196,"Sarjapur Road, Bangalore"
